T_heat_setpoint,T_cool_setpoint,OAT (Kelvin),OAT (deg C)
15,17,296.3166667,23.16666667
15,17,296.335,23.185
15,17,296.3533333,23.20333333
15,17,296.3716667,23.22166667
15,17,296.39,23.24
15,17,296.4083333,23.25833333
15,17,296.4266667,23.27666667
15,17,296.445,23.295
15,17,296.4633333,23.31333333
15,17,296.4816667,23.33166667
15,17,296.5,23.35
15,17,296.5183333,23.36833333
15,17,296.5366667,23.38666667
15,17,296.555,23.405
15,17,296.5733333,23.42333333
15,17,296.5916667,23.44166667
15,17,296.61,23.46
15,17,296.6283333,23.47833333
15,17,296.6466667,23.49666667
15,17,296.665,23.515
15,17,296.6833333,23.53333333
15,17,296.7016667,23.55166667
15,17,296.72,23.57
15,17,296.7383333,23.58833333
15,17,296.7566667,23.60666667
15,17,296.775,23.625
15,17,296.7933333,23.64333333
15,17,296.8116667,23.66166667
15,17,296.83,23.68
15,17,296.8483333,23.69833333
15,17,296.8666667,23.71666667
15,17,296.885,23.735
15,17,296.9033333,23.75333333
15,17,296.9216667,23.77166667
15,17,296.94,23.79
15,17,296.9583333,23.80833333
15,17,296.9766667,23.82666667
15,17,296.995,23.845
15,17,297.0133333,23.86333333
15,17,297.0316667,23.88166667
15,17,297.05,23.9
15,17,297.0783333,23.92833333
15,17,297.1066667,23.95666667
15,17,297.135,23.985
15,17,297.1633333,24.01333333
15,17,297.1916667,24.04166667
15,17,297.22,24.07
15,17,297.2483333,24.09833333
15,17,297.2766667,24.12666667
15,17,297.305,24.155
15,17,297.3333333,24.18333333
15,17,297.3616667,24.21166667
15,17,297.39,24.24
15,17,297.4183333,24.26833333
15,17,297.4466667,24.29666667
15,17,297.475,24.325
15,17,297.5033333,24.35333333
15,17,297.5316667,24.38166667
15,17,297.56,24.41
15,17,297.5883333,24.43833333
15,17,297.6166667,24.46666667
15,17,297.645,24.495
15,17,297.6733333,24.52333333
15,17,297.7016667,24.55166667
15,17,297.73,24.58
15,17,297.7583333,24.60833333
15,17,297.7866667,24.63666667
15,17,297.815,24.665
15,17,297.8433333,24.69333333
15,17,297.8716667,24.72166667
15,17,297.9,24.75
15,17,297.9283333,24.77833333
15,17,297.9566667,24.80666667
15,17,297.985,24.835
15,17,298.0133333,24.86333333
15,17,298.0416667,24.89166667
15,17,298.07,24.92
15,17,298.0983333,24.94833333
15,17,298.1266667,24.97666667
15,17,298.155,25.005
15,17,298.1833333,25.03333333
15,17,298.2116667,25.06166667
15,17,298.24,25.09
15,17,298.2683333,25.11833333
15,17,298.2966667,25.14666667
15,17,298.325,25.175
15,17,298.3533333,25.20333333
15,17,298.3816667,25.23166667
15,17,298.41,25.26
15,17,298.4383333,25.28833333
15,17,298.4666667,25.31666667
15,17,298.495,25.345
15,17,298.5233333,25.37333333
15,17,298.5516667,25.40166667
15,17,298.58,25.43
15,17,298.6083333,25.45833333
15,17,298.6366667,25.48666667
15,17,298.665,25.515
15,17,298.6933333,25.54333333
15,17,298.7216667,25.57166667
15,17,298.75,25.6
15,17,298.7683333,25.61833333
15,17,298.7866667,25.63666667
15,17,298.805,25.655
15,17,298.8233333,25.67333333
15,17,298.8416667,25.69166667
15,17,298.86,25.71
15,17,298.8783333,25.72833333
15,17,298.8966667,25.74666667
15,17,298.915,25.765
15,17,298.9333333,25.78333333
15,17,298.9516667,25.80166667
15,17,298.97,25.82
15,17,298.9883333,25.83833333
15,17,299.0066667,25.85666667
15,17,299.025,25.875
15,17,299.0433333,25.89333333
15,17,299.0616667,25.91166667
15,17,299.08,25.93
15,17,299.0983333,25.94833333
15,17,299.1166667,25.96666667
15,17,299.135,25.985
15,17,299.1533333,26.00333333
15,17,299.1716667,26.02166667
15,17,299.19,26.04
15,17,299.2083333,26.05833333
15,17,299.2266667,26.07666667
15,17,299.245,26.095
15,17,299.2633333,26.11333333
15,17,299.2816667,26.13166667
15,17,299.3,26.15
15,17,299.3183333,26.16833333
15,17,299.3366667,26.18666667
15,17,299.355,26.205
15,17,299.3733333,26.22333333
15,17,299.3916667,26.24166667
15,17,299.41,26.26
15,17,299.4283333,26.27833333
15,17,299.4466667,26.29666667
15,17,299.465,26.315
15,17,299.4833333,26.33333333
15,17,299.5016667,26.35166667
15,17,299.52,26.37
15,17,299.5383333,26.38833333
15,17,299.5566667,26.40666667
15,17,299.575,26.425
15,17,299.5933333,26.44333333
15,17,299.6116667,26.46166667
15,17,299.63,26.48
15,17,299.6483333,26.49833333
15,17,299.6666667,26.51666667
15,17,299.685,26.535
15,17,299.7033333,26.55333333
15,17,299.7216667,26.57166667
15,17,299.74,26.59
15,17,299.7583333,26.60833333
15,17,299.7766667,26.62666667
15,17,299.795,26.645
15,17,299.8133333,26.66333333
15,17,299.8316667,26.68166667
15,17,299.85,26.7
15,18.5,299.8683333,26.71833333
15,18.5,299.8866667,26.73666667
15,18.5,299.905,26.755
15,18.5,299.9233333,26.77333333
15,18.5,299.9416667,26.79166667
15,18.5,299.96,26.81
15,18.5,299.9783333,26.82833333
15,18.5,299.9966667,26.84666667
15,18.5,300.015,26.865
15,18.5,300.0333333,26.88333333
15,18.5,300.0516667,26.90166667
15,18.5,300.07,26.92
15,18.5,300.0883333,26.93833333
15,18.5,300.1066667,26.95666667
15,18.5,300.125,26.975
15,18.5,300.1433333,26.99333333
15,18.5,300.1616667,27.01166667
15,18.5,300.18,27.03
15,18.5,300.1983333,27.04833333
15,18.5,300.2166667,27.06666667
15,18.5,300.235,27.085
15,18.5,300.2533333,27.10333333
15,18.5,300.2716667,27.12166667
15,18.5,300.29,27.14
15,18.5,300.3083333,27.15833333
15,18.5,300.3266667,27.17666667
15,18.5,300.345,27.195
15,18.5,300.3633333,27.21333333
15,18.5,300.3816667,27.23166667
15,18.5,300.4,27.25
15,18.5,300.4183333,27.26833333
15,18.5,300.4366667,27.28666667
15,18.5,300.455,27.305
15,18.5,300.4733333,27.32333333
15,18.5,300.4916667,27.34166667
15,18.5,300.51,27.36
15,18.5,300.5283333,27.37833333
15,18.5,300.5466667,27.39666667
15,18.5,300.565,27.415
15,18.5,300.5833333,27.43333333
15,18.5,300.6016667,27.45166667
15,18.5,300.62,27.47
15,18.5,300.6383333,27.48833333
15,18.5,300.6566667,27.50666667
15,18.5,300.675,27.525
15,18.5,300.6933333,27.54333333
15,18.5,300.7116667,27.56166667
15,18.5,300.73,27.58
15,18.5,300.7483333,27.59833333
15,18.5,300.7666667,27.61666667
15,18.5,300.785,27.635
15,18.5,300.8033333,27.65333333
15,18.5,300.8216667,27.67166667
15,18.5,300.84,27.69
15,18.5,300.8583333,27.70833333
15,18.5,300.8766667,27.72666667
15,18.5,300.895,27.745
15,18.5,300.9133333,27.76333333
15,18.5,300.9316667,27.78166667
15,18.5,300.95,27.8
15,18.5,300.9683333,27.81833333
15,18.5,300.9866667,27.83666667
15,18.5,301.005,27.855
15,18.5,301.0233333,27.87333333
15,18.5,301.0416667,27.89166667
15,18.5,301.06,27.91
15,18.5,301.0783333,27.92833333
15,18.5,301.0966667,27.94666667
15,18.5,301.115,27.965
15,18.5,301.1333333,27.98333333
15,18.5,301.1516667,28.00166667
15,18.5,301.17,28.02
15,18.5,301.1883333,28.03833333
15,18.5,301.2066667,28.05666667
15,18.5,301.225,28.075
15,18.5,301.2433333,28.09333333
15,18.5,301.2616667,28.11166667
15,18.5,301.28,28.13
15,18.5,301.2983333,28.14833333
15,18.5,301.3166667,28.16666667
15,18.5,301.335,28.185
15,18.5,301.3533333,28.20333333
15,18.5,301.3716667,28.22166667
15,18.5,301.39,28.24
15,18.5,301.4083333,28.25833333
15,18.5,301.4266667,28.27666667
15,18.5,301.445,28.295
15,18.5,301.4633333,28.31333333
15,18.5,301.4816667,28.33166667
15,18.5,301.5,28.35
15,18.5,301.5183333,28.36833333
15,18.5,301.5366667,28.38666667
15,18.5,301.555,28.405
15,18.5,301.5733333,28.42333333
15,18.5,301.5916667,28.44166667
15,18.5,301.61,28.46
15,18.5,301.6283333,28.47833333
15,18.5,301.6466667,28.49666667
15,18.5,301.665,28.515
15,18.5,301.6833333,28.53333333
15,18.5,301.7016667,28.55166667
15,18.5,301.72,28.57
15,18.5,301.7383333,28.58833333
15,18.5,301.7566667,28.60666667
15,18.5,301.775,28.625
15,18.5,301.7933333,28.64333333
15,18.5,301.8116667,28.66166667
15,18.5,301.83,28.68
15,18.5,301.8483333,28.69833333
15,18.5,301.8666667,28.71666667
15,18.5,301.885,28.735
15,18.5,301.9033333,28.75333333
15,18.5,301.9216667,28.77166667
15,18.5,301.94,28.79
15,18.5,301.9583333,28.80833333
15,18.5,301.9766667,28.82666667
15,18.5,301.995,28.845
15,18.5,302.0133333,28.86333333
15,18.5,302.0316667,28.88166667
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,18.5,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.05,28.9
15,20,302.0583333,28.90833333
15,20,302.0666667,28.91666667
15,20,302.075,28.925
15,20,302.0833333,28.93333333
15,20,302.0916667,28.94166667
15,20,302.1,28.95
15,20,302.1083333,28.95833333
15,20,302.1166667,28.96666667
15,20,302.125,28.975
15,20,302.1333333,28.98333333
15,20,302.1416667,28.99166667
15,20,302.15,29
15,20,302.1583333,29.00833333
15,20,302.1666667,29.01666667
15,20,302.175,29.025
15,20,302.1833333,29.03333333
15,20,302.1916667,29.04166667
15,20,302.2,29.05
15,20,302.2083333,29.05833333
15,20,302.2166667,29.06666667
15,20,302.225,29.075
15,20,302.2333333,29.08333333
15,20,302.2416667,29.09166667
15,20,302.25,29.1
15,20,302.2583333,29.10833333
15,20,302.2666667,29.11666667
15,20,302.275,29.125
15,20,302.2833333,29.13333333
15,20,302.2916667,29.14166667
15,20,302.3,29.15
15,20,302.3083333,29.15833333
15,20,302.3166667,29.16666667
15,20,302.325,29.175
15,20,302.3333333,29.18333333
15,20,302.3416667,29.19166667
15,20,302.35,29.2
15,20,302.3583333,29.20833333
15,20,302.3666667,29.21666667
15,20,302.375,29.225
15,20,302.3833333,29.23333333
15,20,302.3916667,29.24166667
15,20,302.4,29.25
15,20,302.4083333,29.25833333
15,20,302.4166667,29.26666667
15,20,302.425,29.275
15,20,302.4333333,29.28333333
15,20,302.4416667,29.29166667
15,20,302.45,29.3
15,20,302.4583333,29.30833333
15,20,302.4666667,29.31666667
15,20,302.475,29.325
15,20,302.4833333,29.33333333
15,20,302.4916667,29.34166667
15,20,302.5,29.35
15,20,302.5083333,29.35833333
15,20,302.5166667,29.36666667
15,20,302.525,29.375
15,20,302.5333333,29.38333333
15,20,302.5416667,29.39166667
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,20,302.55,29.4
15,21,302.5416667,29.39166667
15,21,302.5333333,29.38333333
15,21,302.525,29.375
15,21,302.5166667,29.36666667
15,21,302.5083333,29.35833333
15,21,302.5,29.35
15,21,302.4916667,29.34166667
15,21,302.4833333,29.33333333
15,21,302.475,29.325
15,21,302.4666667,29.31666667
15,21,302.4583333,29.30833333
15,21,302.45,29.3
15,21,302.4416667,29.29166667
15,21,302.4333333,29.28333333
15,21,302.425,29.275
15,21,302.4166667,29.26666667
15,21,302.4083333,29.25833333
15,21,302.4,29.25
15,21,302.3916667,29.24166667
15,21,302.3833333,29.23333333
15,21,302.375,29.225
15,21,302.3666667,29.21666667
15,21,302.3583333,29.20833333
15,21,302.35,29.2
15,21,302.3416667,29.19166667
15,21,302.3333333,29.18333333
15,21,302.325,29.175
15,21,302.3166667,29.16666667
15,21,302.3083333,29.15833333
15,21,302.3,29.15
15,21,302.2916667,29.14166667
15,21,302.2833333,29.13333333
15,21,302.275,29.125
15,21,302.2666667,29.11666667
15,21,302.2583333,29.10833333
15,21,302.25,29.1
15,21,302.2416667,29.09166667
15,21,302.2333333,29.08333333
15,21,302.225,29.075
15,21,302.2166667,29.06666667
15,21,302.2083333,29.05833333
15,21,302.2,29.05
15,21,302.1916667,29.04166667
15,21,302.1833333,29.03333333
15,21,302.175,29.025
15,21,302.1666667,29.01666667
15,21,302.1583333,29.00833333
15,21,302.15,29
15,21,302.1416667,28.99166667
15,21,302.1333333,28.98333333
15,21,302.125,28.975
15,21,302.1166667,28.96666667
15,21,302.1083333,28.95833333
15,21,302.1,28.95
15,21,302.0916667,28.94166667
15,21,302.0833333,28.93333333
15,21,302.075,28.925
15,21,302.0666667,28.91666667
15,21,302.0583333,28.90833333
15,21,302.05,28.9
15,21,302.0216667,28.87166667
15,21,301.9933333,28.84333333
15,21,301.965,28.815
