Time(min),temp
760,27.8
761,27.8
762,27.8
763,27.8
764,27.8
765,27.8
766,27.8
767,27.8
768,27.8
769,27.8
770,27.8
771,27.8
772,27.8
773,27.8
774,27.8
775,27.8
776,27.8
777,27.8
778,27.8
779,27.8
780,27.8
781,27.8
782,27.8
783,27.8
784,27.8
785,27.8
786,27.8
787,27.8
788,27.8
789,27.8
790,27.8
791,27.8
792,27.8
793,27.8
794,27.8
795,27.8
796,27.8
797,27.8
798,27.8
799,27.8
800,27.8
801,27.8
802,27.8
803,27.8
804,27.8
805,27.8
806,27.8
807,27.8
808,27.8
809,27.8
810,27.8
811,27.8
812,27.8
813,27.8
814,27.8
815,27.8
816,27.8
817,27.8
818,27.8
819,27.8
820,27.8
821,27.8
822,27.8
823,27.8
824,27.8
825,27.8
826,27.8
827,27.8
828,27.8
829,27.8
830,27.8
831,27.8
832,27.8
833,27.8
834,27.8
835,27.8
836,27.8
837,27.8
838,27.8
839,27.8
840,27.8
841,27.8
842,27.76333333
843,27.72666667
844,27.69
845,27.65333333
846,27.61666667
847,27.58
848,27.54333333
849,27.50666667
850,27.47
851,27.43333333
852,27.39666667
853,27.36
854,27.32333333
855,27.28666667
856,27.25
857,27.21333333
858,27.17666667
859,27.14
860,27.10333333
861,27.06666667
862,27.03
863,26.99333333
864,26.95666667
865,26.92
866,26.88333333
867,26.84666667
868,26.81
869,26.77333333
870,26.73666667
871,26.7
872,26.66333333
873,26.62666667
874,26.59
875,26.55333333
876,26.51666667
877,26.48
878,26.44333333
879,26.40666667
880,26.37
881,26.33333333
882,26.29666667
883,26.26
884,26.22333333
885,26.18666667
886,26.15
887,26.11333333
888,26.07666667
889,26.04
890,26.00333333
891,25.96666667
892,25.93
893,25.89333333
894,25.85666667
895,25.82
896,25.78333333
897,25.74666667
898,25.71
899,25.67333333
900,25.63666667
901,25.6
902,25.59
903,25.58
904,25.57
905,25.56
906,25.55
907,25.54
908,25.53
909,25.52
910,25.51
911,25.5
912,25.49
913,25.48
914,25.47
915,25.46
916,25.45
917,25.44
918,25.43
919,25.42
920,25.41
921,25.4
922,25.39
923,25.38
924,25.37
925,25.36
926,25.35
927,25.34
928,25.33
929,25.32
930,25.31
931,25.3
932,25.29
933,25.28
934,25.27
935,25.26
936,25.25
937,25.24
938,25.23
939,25.22
940,25.21
941,25.2
942,25.19
943,25.18
944,25.17
945,25.16
946,25.15
947,25.14
948,25.13
949,25.12
950,25.11
951,25.1
952,25.09
953,25.08
954,25.07
955,25.06
956,25.05
957,25.04
958,25.03
959,25.02
960,25.01
961,25
962,24.95333333
963,24.90666667
964,24.86
965,24.81333333
966,24.76666667
967,24.72
968,24.67333333
969,24.62666667
970,24.58
971,24.53333333
972,24.48666667
973,24.44
974,24.39333333
975,24.34666667
976,24.3
977,24.25333333
978,24.20666667
979,24.16
980,24.11333333
981,24.06666667
982,24.02
983,23.97333333
984,23.92666667
985,23.88
986,23.83333333
987,23.78666667
988,23.74
989,23.69333333
990,23.64666667
991,23.6
992,23.55333333
993,23.50666667
994,23.46
995,23.41333333
996,23.36666667
997,23.32
998,23.27333333
999,23.22666667
1000,23.18
1001,23.13333333
1002,23.08666667
1003,23.04
1004,22.99333333
1005,22.94666667
1006,22.9
1007,22.85333333
1008,22.80666667
1009,22.76
1010,22.71333333
1011,22.66666667
1012,22.62
1013,22.57333333
1014,22.52666667
1015,22.48
1016,22.43333333
1017,22.38666667
1018,22.34
1019,22.29333333
1020,22.24666667
1021,22.2
1022,22.19166667
1023,22.18333333
1024,22.175
1025,22.16666667
1026,22.15833333
1027,22.15
1028,22.14166667
1029,22.13333333
1030,22.125
1031,22.11666667
1032,22.10833333
1033,22.1
1034,22.09166667
1035,22.08333333
1036,22.075
1037,22.06666667
1038,22.05833333
1039,22.05
1040,22.04166667
1041,22.03333333
1042,22.025
1043,22.01666667
1044,22.00833333
1045,22
1046,21.99166667
1047,21.98333333
1048,21.975
1049,21.96666667
1050,21.95833333
1051,21.95
1052,21.94166667
1053,21.93333333
1054,21.925
1055,21.91666667
1056,21.90833333
1057,21.9
1058,21.89166667
1059,21.88333333
1060,21.875
1061,21.86666667
1062,21.85833333
1063,21.85
1064,21.84166667
1065,21.83333333
1066,21.825
1067,21.81666667
1068,21.80833333
1069,21.8
1070,21.79166667
1071,21.78333333
1072,21.775
1073,21.76666667
1074,21.75833333
1075,21.75
1076,21.74166667
1077,21.73333333
1078,21.725
1079,21.71666667
1080,21.70833333
1081,21.7
1082,21.71833333
1083,21.73666667
1084,21.755
1085,21.77333333
1086,21.79166667
1087,21.81
1088,21.82833333
1089,21.84666667
1090,21.865
1091,21.88333333
1092,21.90166667
1093,21.92
1094,21.93833333
1095,21.95666667
